codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio
193,8327,Maipú,Mendoza,A,Cliente_1,35753100,Empresa_1,Dirección_1,SA,474-518-7753,2024-04-20,2024-09-10,-32.97075594861398,-68.78071832191229,CEX,103.25,HOTEL
178,8075,San Martín,Buenos Aires,A,Cliente_2,62690962,Empresa_2,Dirección_2,DO,781-697-4151,2024-03-03,2024-07-24,-34.54238956086018,-58.585429673063,EFE,153.35,GROCERY
178,6290,Rosario,Santa Fe,I,Cliente_3,91987990,Empresa_3,Dirección_3,LU,418-719-4598,2024-03-29,2024-07-15,-33.008997606905716,-60.640529069739415,EFE,534.84,RESTAURANTE
170,9108,Venado Tuerto,Santa Fe,A,Cliente_4,89796388,Empresa_4,Dirección_4,LU,752-956-1627,2024-03-09,2024-06-22,-33.74537394167366,-62.00297085145518,CEX,118.58,SHOPPING
193,2206,Ciudad de Santa Fe,Santa Fe,A,Cliente_5,88702630,Empresa_5,Dirección_5,JU,410-457-9386,2024-04-09,2024-06-01,-31.660956022556956,-60.69150580598517,CEX,647.71,KIOSCO
178,5543,Córdoba,Córdoba,A,Cliente_6,84031660,Empresa_6,Dirección_6,DO,520-530-8285,2024-03-20,2024-06-18,-31.40280648452398,-64.14166716690275,CEX,826.56,TEA
193,4275,Maipú,Mendoza,A,Cliente_7,40585905,Empresa_7,Dirección_7,SA,762-125-4541,2024-03-12,2024-07-17,-33.02941406799233,-68.80534129009752,CEX,66.05,ESTACION SERVICIO
170,7868,Venado Tuerto,Santa Fe,A,Cliente_8,52276150,Empresa_8,Dirección_8,DO,310-560-8503,2024-05-07,2024-08-19,-33.71097572205625,-62.03569262124053,EFE,180.97,GROCERY
178,7996,Banda del Río Salí,Tucumán,A,Cliente_9,71501823,Empresa_9,Dirección_9,JU,548-113-7438,2024-05-22,2024-09-14,-26.864940042403312,-65.1901021086895,CEX,30.02,HOTEL
170,8124,Yerba Buena,Tucumán,A,Cliente_10,58879427,Empresa_10,Dirección_10,JU,382-678-8233,2024-04-04,2024-06-12,-27.281303945060987,-65.39115309372397,CEX,492.63,ESTACION SERVICIO
193,1340,Bahía Blanca,Buenos Aires,I,Cliente_11,75773143,Empresa_11,Dirección_11,LU,714-247-2512,2024-05-22,2024-08-16,-38.72151648428812,-62.21392638255605,CEX,321.24,AIRPORT
170,2371,San Miguel de Tucumán,Tucumán,A,Cliente_12,77385306,Empresa_12,Dirección_12,DO,401-401-5088,2024-04-22,2024-07-19,-26.790709232409426,-65.23395021241544,EFE,680.67,HOTEL
193,3146,San Rafael,Mendoza,A,Cliente_13,14780763,Empresa_13,Dirección_13,SA,661-565-2850,2024-03-28,2024-06-16,-34.6197653368107,-68.31033279026285,EFE,308.28,HOTEL
170,5450,Jesús María,Córdoba,I,Cliente_14,41539310,Empresa_14,Dirección_14,JU,804-789-9276,2024-05-07,2024-06-22,-30.98360394928251,-64.0873668273658,EFE,983.98,TEA
178,1356,Villa María,Córdoba,A,Cliente_15,83198831,Empresa_15,Dirección_15,DO,145-704-4780,2024-05-25,2024-08-03,-32.460472360017754,-63.27697363076024,EFE,552.0,TEA
170,1100,Maipú,Mendoza,I,Cliente_16,76261108,Empresa_16,Dirección_16,JU,647-497-8392,2024-05-29,2024-09-22,-33.016092957033706,-68.75024004300211,EFE,59.57,HOTEL
193,2540,San Francisco,Córdoba,A,Cliente_17,80056310,Empresa_17,Dirección_17,VI,668-442-3539,2024-04-19,2024-08-11,-31.390518227826178,-62.06596768239501,CEX,600.17,ESTACION SERVICIO
170,2421,Banda del Río Salí,Tucumán,A,Cliente_18,34344954,Empresa_18,Dirección_18,JU,384-456-6334,2024-03-12,2024-09-16,-26.813955482537988,-65.13497941529815,EFE,966.52,SHOPPING
178,7288,Río Cuarto,Córdoba,A,Cliente_19,87397116,Empresa_19,Dirección_19,MA,264-620-9071,2024-03-17,2024-07-13,-33.103153864457205,-64.35136035093316,CEX,936.14,RESTAURANTE
170,9721,San Rafael,Mendoza,A,Cliente_20,22235519,Empresa_20,Dirección_20,MI,445-562-5874,2024-05-29,2024-08-09,-34.629228167890545,-68.29037297523548,CEX,109.23,RESTAURANTE
