codigo_sucursal,codigo_cliente,ciudad,provincia,estado,nombre_cliente,cuit,razon_social,direccion,dias_visita,telefono,fecha_alta,fecha_baja,lat,long,condicion_venta,deuda_vencida,tipo_negocio
257,5763,Córdoba,Córdoba,A,Cliente_1,47678991,Empresa_1,Dirección_1,DO,437-600-6274,2024-05-14,2024-07-05,-31.440045868343024,-64.13071152470386,CEX,704.59,KIOSCO
254,5384,Mendoza,Mendoza,A,Cliente_2,98731152,Empresa_2,Dirección_2,JU,463-487-7807,2024-03-24,2024-08-06,-32.91248047245442,-68.78537890410331,EFE,153.54,RESTAURANTE
216,7690,Yerba Buena,Tucumán,A,Cliente_3,34745501,Empresa_3,Dirección_3,VI,659-474-2669,2024-05-04,2024-08-04,-27.280727423975417,-65.36180335952407,EFE,675.26,SHOPPING
254,8333,La Plata,Buenos Aires,A,Cliente_4,38140713,Empresa_4,Dirección_4,MI,139-871-5293,2024-05-26,2024-07-13,-34.86944491345563,-57.960606571396575,CEX,277.77,KIOSCO
216,5776,Ciudad Autónoma de Buenos Aires,Buenos Aires,A,Cliente_5,53184302,Empresa_5,Dirección_5,LU,240-928-5977,2024-03-12,2024-07-29,-34.626198564240966,-58.41349602242099,CEX,827.59,KIOSCO
257,6421,Rosario,Santa Fe,A,Cliente_6,42476721,Empresa_6,Dirección_6,MA,727-385-7951,2024-04-13,2024-07-19,-32.92018140709607,-60.64165865385755,CEX,420.88,RESTAURANTE
254,6044,Río Cuarto,Córdoba,I,Cliente_7,39850557,Empresa_7,Dirección_7,MI,959-755-6786,2024-03-03,2024-08-30,-33.09968554282736,-64.29681637562578,CEX,245.99,ESTACION SERVICIO
257,8993,Mendoza,Mendoza,A,Cliente_8,72825278,Empresa_8,Dirección_8,JU,978-303-3156,2024-05-29,2024-06-21,-32.851461124977476,-68.79437438858935,CEX,6.35,GROCERY
257,2853,Yerba Buena,Tucumán,A,Cliente_9,42052293,Empresa_9,Dirección_9,DO,893-664-9064,2024-03-21,2024-07-25,-27.187789552411253,-65.439712376089,CEX,199.69,GROCERY
254,3885,Bahía Blanca,Buenos Aires,A,Cliente_10,96215241,Empresa_10,Dirección_10,MA,199-891-6994,2024-05-16,2024-08-28,-38.76071736222889,-62.24040358813996,CEX,69.21,RESTAURANTE
216,5301,Villa María,Córdoba,I,Cliente_11,75758546,Empresa_11,Dirección_11,VI,199-387-7539,2024-05-13,2024-06-26,-32.367619344104625,-63.233404734087046,CEX,970.74,MAYORISTA
254,6327,Rafaela,Santa Fe,A,Cliente_12,92341722,Empresa_12,Dirección_12,MA,527-606-9904,2024-03-13,2024-09-06,-31.229085724464706,-61.48970749669573,CEX,432.13,MAYORISTA
257,7098,Mendoza,Mendoza,A,Cliente_13,65911772,Empresa_13,Dirección_13,MA,797-915-7732,2024-03-23,2024-07-03,-32.87356680540888,-68.87475755381304,EFE,510.04,GROCERY
216,3014,Ciudad Autónoma de Buenos Aires,Buenos Aires,A,Cliente_14,97111005,Empresa_14,Dirección_14,MA,189-255-6684,2024-03-10,2024-08-20,-34.63488008844968,-58.42165241728658,CEX,537.75,AIRPORT
257,3271,San Miguel de Tucumán,Tucumán,A,Cliente_15,44102877,Empresa_15,Dirección_15,MA,638-833-8707,2024-05-23,2024-08-25,-26.788331856601175,-65.21124232179369,EFE,822.36,TEA
257,7882,Ciudad de Santa Fe,Santa Fe,A,Cliente_16,65126366,Empresa_16,Dirección_16,LU,292-542-7510,2024-05-06,2024-08-28,-31.661710870558323,-60.662555080940834,CEX,526.07,SHOPPING
254,5583,Rosario,Santa Fe,A,Cliente_17,50771560,Empresa_17,Dirección_17,JU,896-179-3964,2024-04-11,2024-07-15,-32.93947786411734,-60.66641794352921,EFE,50.67,RESTAURANTE
257,2264,Maipú,Mendoza,A,Cliente_18,71758957,Empresa_18,Dirección_18,JU,972-244-3055,2024-05-24,2024-06-26,-32.99445767350823,-68.75988207769227,EFE,884.17,ESTACION SERVICIO
254,7160,Tafí Viejo,Tucumán,A,Cliente_19,52303478,Empresa_19,Dirección_19,MA,471-695-9457,2024-03-24,2024-06-22,-26.74083879783083,-65.30720405648188,EFE,118.16,MAYORISTA
216,4222,Córdoba,Córdoba,I,Cliente_20,30350077,Empresa_20,Dirección_20,JU,981-146-7483,2024-04-19,2024-08-08,-31.405508862229013,-64.17197513871422,EFE,555.86,RESTAURANTE
